,Month,,,HR,,,,"HR
 Presale",,HR costs,,,,,HRVideo,,,,,,Fired/Left,,,,,,FiredWeek,,,                   Stream LG,,,,,,,,Calls,,,,,,,,,,,Sales,,,,,,,,,                      FiredSync ,,,,,Interview,,                     Private Entrepreneur,,Bonus for projects,     SummarySync,,,,,,Finance,,,,,
Empl qty,,Number of new employees,Salary of new employees,Number of new employees Started,Salary of new employees Started,Didn't start or finish the same month,Recruiter bonuses,Number of candidates ,Recruiter bonuses,HR Salaries and Bonuses,HR Ads and Softs,Cost per Empl (Started),Cost per Empl (all),Number of candidates ,Recruiter bonuses,Cost per Video,Total,%total,Left,%left,Fired,%fired,Salary,Average worked months,Profit,Number of employees,Salary,Salary USD,Profit,Time(hours),Price,Total calls,Leadgen calls,Sales managers first calls,Reengagement calls,Managers' bonuses,Team leads bonuses,Client,Total Empl,Days Call to Client ,Lead Price,New Company Price,Unique company Price,Project Price,Companies,Sales (unique NEW companies),Hired employees,Revenue ,Bonus SM,Team leads bonuses,USD Empl Salary ,Profit Project,LeadGen Manager,LeadGen Bonus,Assistant Bonus,Company,Fired employees on projects,Lost revenue,Lost Profit,Profit gained from employees,Months Worked,Company,Employee,"Status ""Hired""",Amount,Total,Total,Total UAH,Total USD,Revenue,Total received,Balance,Invoices this month,Salaries USD full,Salaries this month,Cash ,Total Pending,Calls 2024,Sales 2024
90,January,4,"$1,544.15",3,"$1,233.89",1,грн.600.00,0,грн.0.00,"грн.49,913.00","грн.16,025.00","грн.21,979.33","грн.16,484.50",74,"грн.7,400.00",грн.891.05,5,5.6%,4,4.44%,1,1.1%,"$1,415.27",6.9,"$7,506.78",1,"грн.13,000.00",$310.26,$0.00,185.9,"грн.7,436.00",38,35,1,2,"грн.15,500.00","грн.1,750.00",3,3,14,$107.65,"$2,499.22","$2,499.22","$2,499.22",2,2,2,"$2,231.25",$44.63,,$688.78,"$1,542",2,"грн.1,000.00",$23.9,1,1,"$1,470.00","$1,282.20","$1,196.72",0.9,17,35,4,1,"грн.1,500.00","грн.75,000.00","грн.121,375.85","$2,896.80","$42,661.00","$40,966.00",-$770.00,"$24,171.00","$35,513.00","$30,872.00","-$2,707.00","$30,020.00",45,16
99,February,15,"$4,282.53",10,"$1,776.51",5,"грн.2,000.00",0,грн.0.00,"грн.63,550.00","грн.9,095.00","грн.7,264.50","грн.4,843.00",56,"грн.5,600.00","грн.1,297.23",10,10.1%,7,7.07%,3,3.0%,"$3,672.53",11.2,"$28,274.68",5,"грн.35,000.00",$843.37,-$77.71,154.14,"грн.6,165.60",56,54,2,0,"грн.21,550.00","грн.11,000.00",2,2,9,$83.90,"$1,487.16","$1,189.73","$1,189.73",5,4,5,"$5,055.75",$101.12,$50.56,"$1,000.61","$4,055",3,"грн.2,000.00",$60.2,1,1,"$1,470.00",$984.15,"$18,862.80",19.2,17,28,5,1,"грн.1,500.00","грн.78,200.00","грн.139,683.02","$3,365.86","$46,166.00","$39,915.00","-$1,907.00","$18,761.00","$36,654.00","$34,001.00","-$8,158.00","$38,279.00",,
85,March,1,$180.72,1,$180.72,0,грн.200.00,0,грн.0.00,"грн.55,493.00","грн.5,515.00","грн.61,008.00","грн.61,008.00",37,"грн.3,700.00","грн.1,648.86",16,18.8%,15,17.65%,1,1.2%,"$5,712.36",15.8,"$38,659.84",0,грн.0.00,$0.00,$0.00,81.37,"грн.3,254.80",37,36,1,0,"грн.13,150.00","грн.7,400.00",3,3,24,$117.76,"$2,736.70","$2,736.70","$1,824.47",2,2,3,"$2,572.50",$51.45,$25.73,$579.27,"$1,993",2,"грн.1,000.00",$36.1,9,11,"$10,070.00","$7,176.37","$72,359.57",9.3,15,25,2,1,"грн.1,500.00","грн.75,475.00","грн.116,410.06","$2,805.06","$44,235.00","$49,449.00",$495.00,"$22,809.00","$33,754.00","$30,374.00","$5,709.00","$32,424.00",,
72,April,3,$867.47,2,$578.31,1,грн.400.00,0,грн.0.00,"грн.39,916.00","грн.1,065.00","грн.20,490.50","грн.13,660.33",26,"грн.2,600.00","грн.1,576.19",13,18.1%,10,13.89%,3,4.2%,"$4,044.58",10.2,"-$39,746.29",0,"грн.12,000.00",$289.16,$0.00,82.3,"грн.3,292.00",23,23,0,0,"грн.8,350.00","грн.4,600.00",3,5,36,$109.13,"$1,042.30","$1,042.30","$1,042.30",3,3,3,"$3,910.55",$78.21,$39.11,$813.66,"$3,097",2,"грн.1,500.00",$36.1,5,5,"$4,816.00","$3,542.22","$15,105.85",4.2,8,9,1,1,"грн.1,500.00","грн.66,575.00","грн.103,247.59","$2,487.89","$39,386.00","$34,487.00","$2,385.00","$16,682.00","$29,277.00","$25,610.00","-$2,514.00","$35,885.00",,
65,May,6,"$2,306.02",6,"$2,306.02",0,"грн.1,200.00",0,грн.0.00,"грн.25,032.00","грн.4,409.00","грн.4,906.83","грн.4,906.83",40,"грн.4,000.00",грн.736.03,2,3.1%,2,3.08%,0,0.0%,$503.61,11.0,"-$6,907.85",0,грн.0.00,$0.00,$0.00,70.42,"грн.2,816.80",27,27,0,0,"грн.10,000.00","грн.4,725.00",1,1,9,$128.00,"$4,093.41","$1,023.35",$818.68,4,1,5,"$6,884.55",$137.69,$68.85,"$1,414.39","$5,470",2,грн.500.00,$0.0,1,0,,,,0.0,3,5,5,1,"грн.1,500.00","грн.64,725.00","грн.103,453.85","$2,492.86","$42,370.00","$55,432.00","$4,221.00","$28,403.00","$27,899.00","$24,674.00","$17,283.00","$25,766.00",,
71,June,7,"$2,734.94",4,"$1,325.30",3,грн.800.00,0,грн.0.00,"грн.55,170.00","грн.10,920.00","грн.16,522.50","грн.9,441.43",178,"грн.17,800.00",грн.371.29,12,16.9%,5,7.04%,7,9.9%,"$6,927.78",25.1,"-$67,691.57",2,"грн.44,000.00","$1,060.24",-$103.27,152.09,"грн.6,083.60",19,19,0,0,"грн.6,750.00","грн.2,850.00",2,4,14,$131.37,"$1,025.03","$1,025.03",$615.02,3,3,5,"$6,625.00",$132.50,$66.25,"$1,509.02","$5,116",2,"грн.1,500.00",$0.0,6,6,"$7,366.70","$5,685.63","$48,260.81",11.7,3,6,6,1,"грн.1,500.00","грн.65,575.00","грн.115,178.30","$2,775.38","$43,329.00","$38,087.00","$5,254.00","$23,801.00","$30,909.00","$25,477.00",$12.00,"$30,038.00",,
76,July,17,"$5,621.69",8,"$2,674.70",9,"грн.1,600.00",0,грн.0.00,"грн.46,069.78","грн.4,482.00","грн.6,318.97","грн.2,973.63",173,"грн.17,300.00",грн.284.00,6,7.9%,3,3.95%,3,3.9%,"$2,120.48",10.0,"$5,570.77",7,"грн.96,300.00","$2,320.48",-$200.63,0,грн.0.00,14,14,0,0,"грн.4,400.00","грн.1,500.00",0,0,0,$190.25,"$3,163.68","$1,581.84","$1,581.84",2,1,2,"$3,048.00",$60.96,$30.48,$500.00,"$2,548",2,грн.500.00,$0.0,2,2,"$3,652.00","$2,577.61","$6,453.06",2.5,1,1,1,1,"грн.1,500.00","грн.64,975.00","грн.101,238.58","$2,439.48","$44,892.00","$37,845.00","$7,217.00","$17,591.00","$31,830.00","$24,535.00",$170.00,"$38,409.00",,
89,August,27,"$8,898.19",19,"$6,150.60",8,"грн.3,800.00",,,"грн.53,741.67","грн.4,317.00","грн.7,257.33","грн.3,415.22",164,"грн.16,400.00",грн.326.17,10,11.2%,3,3.37%,7,7.9%,"$3,093.98",9.8,"-$8,620.21",8,"грн.113,525.00","$2,735.54",-$403.09,,,21,19,2,0,"грн.7,600.00","грн.5,550.00",0,0,0,$214.27,"$5,417.09","$2,494.27","$1,662.85",2,1,3,"$5,026.00",$100.52,$50.26,$872.32,"$4,154",1,грн.0.00,$36.1,3,4,"$4,003.00","$3,259.76","$6,584.49",2.1,1,2,2,1,"грн.1,500.00","грн.62,150.00","грн.110,734.54","$2,668.30","$43,281.00","$46,213.00","$1,358.00","$16,143.00","$35,994.00","$28,745.00","$4,290.00","$33,296.00",,
74,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
